REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed,Season,Latitude,Longitude
South Eastern,12,Paktya,1202,Sayedkaram,2018-02-13,Flood / flash flood,0,0,175,25,25,0,Winter,33.731336,69.469893
South Eastern,12,Paktya,1206,Zadran,2018-02-13,Flood / flash flood,0,0,210,30,30,0,Winter,33.416216,69.424522
Capital,3,Parwan,303,Shinwari,2018-02-14,Heavy snowfall,0,0,70,10,8,2,Winter,35.135028,68.973098
North Eastern,16,Takhar,1612,Khwajabahawuddin,2018-02-15,Flood / flash flood,0,0,182,26,26,0,Winter,37.346667,69.533889
Northern,18,Balkh,1802,Nahr-e-Shahi,2018-02-19,Flood / flash flood,0,0,133,19,19,0,Winter,36.827572,67.23353
Western,30,Hirat,3006,Pashtunzarghun,2018-02-26,Flood / flash flood,0,0,0,0,0,0,Winter,34.13202,62.728806
Western,29,Badghis,2904,Qadis,2018-02-26,Flood / flash flood,6,0,6,0,0,0,Winter,34.798054,63.578057
Southern,33,Kandahar,3301,Kandahar,2018-02-26,Earthquake,0,0,807,101,0,0,Winter,31.518012,65.697431
Western,30,Hirat,3007,Karukh,2018-02-26,Flood / flash flood,0,0,168,26,0,26,Winter,34.483692,62.656587
Western,31,Farah,3101,Farah,2018-03-01,Flood / flash flood,0,0,1106,130,8,87,Spring,32.23408,62.222932
Eastern,13,Kunar,1314,Nurgal,2018-03-03,Flood / flash flood,0,0,14,2,0,2,Spring,34.700584,70.728239
Western,21,Ghor,2108,Lal Wa Sarjangal,2018-03-05,Flood / flash flood,0,0,14,2,0,2,Spring,34.567173,66.208738
Western,29,Badghis,2901,Qala-e-Naw,2018-03-09,Landslide / mudflow,0,0,6,1,1,0,Spring,34.861003,63.130681
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2018-03-10,Flood / flash flood,0,3,21,3,2,1,Spring,35.019947,71.233756
South Eastern,12,Paktya,1201,Gardez,2018-03-19,Flood / flash flood,0,0,77,11,11,0,Spring,33.599864,69.229343
Central Highland,10,Bamyan,1001,Bamyan,2018-03-25,Flood / flash flood,0,0,14,2,0,2,Spring,34.755695,67.640391
North Eastern,15,Badakhshan,1502,Yaftal-e-Sufla,2018-04-08,Flood / flash flood,0,0,35,5,0,5,Spring,37.29251,70.36165
Eastern,13,Kunar,1314,Nurgal,2018-04-08,Flood / flash flood,0,0,6,1,1,0,Spring,34.700584,70.728239
Eastern,13,Kunar,1301,Asadabad,2018-04-08,Flood / flash flood,0,0,16,2,0,2,Spring,34.859883,71.117064
Eastern,13,Kunar,1303,Narang,2018-04-08,Flood / flash flood,0,0,21,3,0,3,Spring,34.817816,71.019069
Eastern,13,Kunar,1302,Watapur,2018-04-08,Flood / flash flood,0,0,14,2,1,1,Spring,34.972029,71.079464
Eastern,13,Kunar,1305,Marawara,2018-04-08,Flood / flash flood,0,0,14,2,2,0,Spring,34.856211,71.219828
Capital,2,Kapisa,201,Mahmud-e-Raqi,2018-04-09,Flood / flash flood,0,0,182,26,25,1,Spring,35.01233,69.382066
Eastern,7,Laghman,703,Qarghayi,2018-04-09,Flood / flash flood,0,0,44,5,2,3,Spring,34.543504,70.214523
Western,21,Ghor,2106,Taywarah,2018-04-09,Flood / flash flood,0,0,0,0,0,0,Spring,33.514124,64.40105
Eastern,7,Laghman,701,Mehtarlam,2018-04-09,Flood / flash flood,0,0,46,5,2,3,Spring,34.666954,70.071718
Western,21,Ghor,2105,Shahrak,2018-04-09,Flood / flash flood,0,0,0,0,0,0,Spring,34.225392,64.289289
Capital,2,Kapisa,202,Nejrab,2018-04-09,Flood / flash flood,0,0,182,26,26,0,Spring,35.041318,69.632485
Capital,2,Kapisa,203,Kohband,2018-04-09,Flood / flash flood,0,0,91,13,13,0,Spring,35.110987,69.460654
Capital,2,Kapisa,205,Tagab,2018-04-09,Flood / flash flood,0,0,98,14,13,1,Spring,34.803659,69.649529
Capital,3,Parwan,301,Charikar,2018-04-15,Flood / flash flood,0,0,42,6,4,2,Spring,34.955632,69.120882
Capital,3,Parwan,308,Koh-e-Safi,2018-04-15,Flood / flash flood,0,0,63,9,9,0,Spring,34.754573,69.468075
Capital,3,Parwan,307,Ghorband,2018-04-15,Flood / flash flood,0,0,7,1,0,1,Spring,34.987058,68.799341
Western,29,Badghis,2902,Muqur,2018-04-15,Flood / flash flood,0,0,0,0,0,0,Spring,35.108166,63.260315
Capital,3,Parwan,304,Bagram,2018-04-15,Flood / flash flood,0,0,28,4,3,1,Spring,34.905671,69.377716
Western,30,Hirat,3008,Gulran,2018-04-16,Flood / flash flood,0,0,0,0,0,0,Spring,35.111466,61.695729
Western,29,Badghis,2906,Balamurghab,2018-04-17,Flood / flash flood,0,0,0,0,0,0,Spring,35.496473,63.489881
Western,30,Hirat,3016,Chisht-e-Sharif,2018-04-17,Flood / flash flood,0,0,0,0,0,0,Spring,34.372017,63.768442
Eastern,13,Kunar,1314,Nurgal,2018-04-19,Flood / flash flood,0,1,56,8,3,5,Spring,34.700584,70.728239
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2018-04-19,Flood / flash flood,0,0,28,4,4,0,Spring,35.019947,71.233756
Eastern,13,Kunar,1304,Sarkani,2018-04-19,Flood / flash flood,0,0,7,1,0,1,Spring,34.705403,71.086416
Eastern,7,Laghman,703,Qarghayi,2018-04-20,Flood / flash flood,0,0,22,3,3,0,Spring,34.543504,70.214523
Eastern,7,Laghman,702,Alishang,2018-04-20,Flood / flash flood,0,0,17,3,3,0,Spring,34.866429,70.072183
Eastern,7,Laghman,704,Alingar,2018-04-20,Flood / flash flood,0,0,134,26,26,0,Spring,34.833038,70.425705
Eastern,7,Laghman,701,Mehtarlam,2018-04-20,Flood / flash flood,0,0,165,23,8,15,Spring,34.666954,70.071718
Eastern,6,Nangarhar,622,Durbaba,2018-04-21,Flood / flash flood,0,0,118,16,16,0,Spring,34.098842,70.943709
North Eastern,16,Takhar,1610,Chahab,2018-04-25,Flood / flash flood,3,0,1309,187,69,17,Spring,37.426269,69.928441
North Eastern,15,Badakhshan,1501,Fayzabad,2018-04-25,Flood / flash flood,2,0,476,68,0,68,Spring,37.217022,70.62815
Eastern,13,Kunar,1301,Asadabad,2018-04-29,Flood / flash flood,0,0,17,2,2,0,Spring,34.859883,71.117064
Central Highland,10,Bamyan,1001,Bamyan,2018-05-06,Flood / flash flood,0,0,28,4,4,0,Spring,34.755695,67.640391
North Eastern,9,Baghlan,912,Dehsalah,2018-05-08,Flood / flash flood,0,0,140,20,15,5,Spring,35.763124,69.309796
North Eastern,9,Baghlan,909,Khwajahejran,2018-05-08,Flood / flash flood,0,0,119,17,15,2,Spring,35.993359,69.294979
North Eastern,9,Baghlan,910,Burka,2018-05-08,Flood / flash flood,0,0,70,10,10,0,Spring,36.265304,69.161208
Eastern,14,Nuristan,1405,Wama,2018-05-08,Flood / flash flood,0,0,49,7,7,0,Spring,35.107368,70.719288
